,Zone,Time,Value
0,WCMA,1,0.0
1,WCMA,2,0.0
2,WCMA,3,0.0
3,WCMA,4,0.0
4,WCMA,5,0.0
5,WCMA,6,0.0
6,WCMA,7,0.0
7,WCMA,8,0.0
8,WCMA,9,0.0
9,WCMA,10,0.0
10,WCMA,11,0.0
11,WCMA,12,0.0
12,WCMA,13,0.0
13,WCMA,14,0.0
14,WCMA,15,0.0
15,WCMA,16,0.0
16,WCMA,17,0.0
17,WCMA,18,0.0
18,WCMA,19,0.0
19,WCMA,20,0.0
20,WCMA,21,0.0
21,WCMA,22,0.0
22,WCMA,23,0.0
23,WCMA,24,0.0
24,NH,1,0.0
25,NH,2,0.0
26,NH,3,0.0
27,NH,4,0.0
28,NH,5,0.0
29,NH,6,0.0
30,NH,7,0.0
31,NH,8,0.0
32,NH,9,0.0
33,NH,10,0.0
34,NH,11,0.0
35,NH,12,0.0
36,NH,13,0.0
37,NH,14,0.0
38,NH,15,0.0
39,NH,16,0.0
40,NH,17,0.0
41,NH,18,0.0
42,NH,19,0.0
43,NH,20,0.0
44,NH,21,0.0
45,NH,22,0.0
46,NH,23,0.0
47,NH,24,0.0
48,NEMA,1,0.0
49,NEMA,2,0.0
50,NEMA,3,0.0
51,NEMA,4,0.0
52,NEMA,5,0.0
53,NEMA,6,0.0
54,NEMA,7,0.0
55,NEMA,8,0.0
56,NEMA,9,0.0
57,NEMA,10,0.0
58,NEMA,11,0.0
59,NEMA,12,0.0
60,NEMA,13,0.0
61,NEMA,14,0.0
62,NEMA,15,0.0
63,NEMA,16,0.0
64,NEMA,17,0.0
65,NEMA,18,0.0
66,NEMA,19,0.0
67,NEMA,20,0.0
68,NEMA,21,0.0
69,NEMA,22,0.0
70,NEMA,23,0.0
71,NEMA,24,0.0
72,ME,1,0.0
73,ME,2,0.0
74,ME,3,0.0
75,ME,4,0.0
76,ME,5,0.0
77,ME,6,0.0
78,ME,7,0.0
79,ME,8,0.0
80,ME,9,0.0
81,ME,10,0.0
82,ME,11,0.0
83,ME,12,0.0
84,ME,13,0.0
85,ME,14,0.0
86,ME,15,0.0
87,ME,16,0.0
88,ME,17,0.0
89,ME,18,0.0
90,ME,19,0.0
91,ME,20,0.0
92,ME,21,0.0
93,ME,22,0.0
94,ME,23,0.0
95,ME,24,0.0
96,RI,1,0.0
97,RI,2,0.0
98,RI,3,0.0
99,RI,4,0.0
100,RI,5,0.0
101,RI,6,0.0
102,RI,7,0.0
103,RI,8,0.0
104,RI,9,0.0
105,RI,10,0.0
106,RI,11,0.0
107,RI,12,0.0
108,RI,13,0.0
109,RI,14,0.0
110,RI,15,0.0
111,RI,16,0.0
112,RI,17,0.0
113,RI,18,0.0
114,RI,19,0.0
115,RI,20,0.0
116,RI,21,0.0
117,RI,22,0.0
118,RI,23,0.0
119,RI,24,0.0
120,CT,1,0.0
121,CT,2,0.0
122,CT,3,0.0
123,CT,4,0.0
124,CT,5,0.0
125,CT,6,0.0
126,CT,7,0.0
127,CT,8,0.0
128,CT,9,0.0
129,CT,10,0.0
130,CT,11,0.0
131,CT,12,0.0
132,CT,13,0.0
133,CT,14,0.0
134,CT,15,0.0
135,CT,16,0.0
136,CT,17,0.0
137,CT,18,0.0
138,CT,19,0.0
139,CT,20,0.0
140,CT,21,0.0
141,CT,22,0.0
142,CT,23,0.0
143,CT,24,0.0
144,VT,1,0.0
145,VT,2,0.0
146,VT,3,0.0
147,VT,4,0.0
148,VT,5,0.0
149,VT,6,0.0
150,VT,7,0.0
151,VT,8,0.0
152,VT,9,0.0
153,VT,10,0.0
154,VT,11,0.0
155,VT,12,0.0
156,VT,13,0.0
157,VT,14,0.0
158,VT,15,0.0
159,VT,16,0.0
160,VT,17,0.0
161,VT,18,0.0
162,VT,19,0.0
163,VT,20,0.0
164,VT,21,0.0
165,VT,22,0.0
166,VT,23,0.0
167,VT,24,0.0
168,SEMA,1,0.0
169,SEMA,2,0.0
170,SEMA,3,0.0
171,SEMA,4,0.0
172,SEMA,5,0.0
173,SEMA,6,0.0
174,SEMA,7,0.0
175,SEMA,8,0.0
176,SEMA,9,0.0
177,SEMA,10,0.0
178,SEMA,11,0.0
179,SEMA,12,0.0
180,SEMA,13,0.0
181,SEMA,14,0.0
182,SEMA,15,0.0
183,SEMA,16,0.0
184,SEMA,17,0.0
185,SEMA,18,0.0
186,SEMA,19,0.0
187,SEMA,20,0.0
188,SEMA,21,0.0
189,SEMA,22,0.0
190,SEMA,23,0.0
191,SEMA,24,0.0
